Material,Value
PS,100
PMMA,105
PVC,87
PE,85
PP,130
PET,75
PTFE,327
PSU,180
PA,60
PC,150
PPO,215
PBT,225
PI,290
PTT,60
PES,225
PB,60
POM,175
PPS,285
PVDF,150
PAI,305
PBI,780
PES,225
PTFEP,310
PFA,305
PEEK,334
PPA,225
PMP,180
PPE,120
PTT,60
PCT,225
PS,100
PMMA,105
PVC,87
PE,85
PP,130
PET,75
PTFE,327
PSU,180
PA,60
PC,150
PPO,215
PBT,225
PI,290
PTT,60
PES,225
PB,60
POM,175
PPS,285
PVDF,150
PAI,305
PBI,780
PTFEP,310
PFA,305
PEEK,334
PPA,225
PMP,180
PPE,120
PCT,225
PCTA,230
PCTG,80
PCV,90
PCTFE,240
PCO,150
PCTFE,240
PCTG,80
PCTA,230
PCTFE,240
PS,100
PMMA,105
PVC,87
PE,85
PP,130
PET,75
PTFE,327
PSU,180
PA,60
PC,150
PPO,215
PBT,225
PI,290
PTT,60
PES,225
PB,60
POM,175
PPS,285
PVDF,150
PAI,305
PBI,780
PTFEP,310
PFA,305
PEEK,334
PPA,225
PMP,180
PPE,120
PCT,225
PCTA,230
PCTG,80
PCV,90
PCTFE,240
PCO,150
