Material,Value
PS,100
PMMA,105
PVC,87
PE,80
PP,130
PET,75
PTFE,327
PVA,60
PLA,60
PBAT,5
PC,147
PA6,50
PA66,50
PEEK,143
ABS,105
PMMA,160
PS,90
PVC,85
PE,70
PP,120
PET,69
PTFE,327
PVA,58
PLA,55
PBAT,7
PC,150
PA6,55
PA66,60
PEEK,150
ABS,100
PMMA,155
PS,95
PVC,80
PE,75
PP,125
PET,70
PTFE,327
PVA,62
PLA,58
PBAT,6
PC,145
PA6,58
PA66,55
PEEK,148
ABS,110
PMMA,150
PS,98
PVC,83
PE,78
PP,128
PET,72
PTFE,327
PVA,65
PLA,62
PBAT,8
PC,148
PA6,60
PA66,57
PEEK,145
ABS,115
PS,100
PMMA,105
PVC,87
PE,80
PP,130
PET,75
PTFE,327
PVA,60
PLA,60
PBAT,5
PC,147
PA6,50
PA66,50
PEEK,143
ABS,105
GaAs,1230
SiC,900
Al2O3,1800
PS,100
PMMA,105
PVC,87
PE,80
PP,130
PET,75
PTFE,327
PVA,60
PLA,60
PBAT,5
PC,147
PA6,50
PA66,50
PEEK,143
ABS,105
GaAs,1230
SiC,900
Al2O3,1800
