Material,Value
PMMA,105
PS,100
PVAc,28
PVC,82
PE,85
PP,130
PTFE,327
PET,75
PA6,50
PA66,50
PBT,50
PC,150
PEEK,150
PSU,190
PES,225
PI,290
PPO,220
PTT,60
POM,165
PMMA,105
PS,100
PVAc,28
PVC,82
PE,85
PP,130
PTFE,327
PET,75
PA6,50
PA66,50
PBT,50
PC,150
PEEK,150
PSU,190
PES,225
PI,290
PPO,220
PTT,60
POM,165
GaAs,1230
SiC,900
Al2O3,1800
PMMA,105
PS,100
PVAc,28
PVC,82
PE,85
PP,130
PTFE,327
PET,75
PA6,50
PA66,50
PBT,50
PC,150
PEEK,150
PSU,190
PES,225
PI,290
PPO,220
PTT,60
POM,165
GaAs,1230
SiC,900
Al2O3,1800
