Material,Value
PMMA,105
PVC,87
PS,100
PE,80
PP,130
PET,75
PTFE,327
PVDF,170
PA6,50
PA66,60
PBT,50
PC,150
PEEK,143
PSU,185
PES,225
PI,260
FEP,50
ETFE,150
EVA,60
POM,150
PMMA,105
PVC,87
PS,100
PE,80
PP,130
PET,75
PTFE,327
PVDF,170
PA6,50
PA66,60
PBT,50
PC,150
PEEK,143
PSU,185
PES,225
PI,260
FEP,50
ETFE,150
EVA,60
POM,150
GaAs,1230
SiC,900
Al2O3,1800
PMMA,105
PVC,87
PS,100
PE,80
PP,130
PET,75
PTFE,327
PVDF,170
PA6,50
PA66,60
PBT,50
PC,150
PEEK,143
PSU,185
PES,225
PI,260
FEP,50
ETFE,150
EVA,60
POM,150
GaAs,1230
SiC,900
Al2O3,1800
