Material,Value
GaAs,1230
PMMA,105
PS,100
PVC,87
PTFE,327
PET,75
PP,0
PE,-125
PC,150
PS,100
PAN,100
PVA,60
PVP,180
PVDF,170
PLA,60
PCL,-60
PA,50
PBAT,0
PEEK,343
PSU,185
PPS,90
PBT,30
POM,165
EVA,-50
ABS,105
CA,60
CR,70
NR,-72
SBR,-55
NBR,-30
EPDM,-54
FKM,210
CSM,100
FEP,80
ETFE,250
PFA,305
PVF,150
ECTFE,155
THV,90
PVDC,105
PCTFE,225
PMP,180
PBMA,90
PVAc,28
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
GaAs,1230
PMMA,105
PS,100
PVC,87
PTFE,327
PET,75
PP,0
PE,-125
PC,150
PAN,100
PVA,60
PVP,180
PVDF,170
PLA,60
PCL,-60
PA,50
PBAT,0
PEEK,343
PSU,185
PPS,90
PBT,30
POM,165
EVA,-50
ABS,105
CA,60
CR,70
NR,-72
SBR,-55
NBR,-30
EPDM,-54
FKM,210
CSM,100
FEP,80
ETFE,250
PFA,305
PVF,150
ECTFE,155
THV,90
PVDC,105
PCTFE,225
PMP,180
PBMA,90
PVAc,28
