Material,Value
PS,100
PVC,87
PMMA,105
PE,80
PP,130
PTFE,327
PET,76
PEEK,143
PA,60
PU,75
PVA,60
PBAT,50
PLA,60
PBS,55
PCL,60
PHB,180
PC,150
PMMA,105
PS,100
PVC,87
PPO,220
PBTP,70
PSF,190
PES,230
PEEK,143
PEI,217
PAI,300
PTFE,327
PSU,190
PPS,285
PPSU,220
PVDF,150
FEP,260
ETFE,150
ECTFE,155
PVF,150
PFA,305
MFA,200
PTFE,327
FEP,260
ETFE,150
ECTFE,155
PVF,150
PFA,305
MFA,200
PTFE,327
PPS,285
PPSU,220
PVDF,150
PS,100
PVC,87
PMMA,105
PE,80
PP,130
PTFE,327
PET,76
PEEK,143
PA,60
PU,75
PVA,60
PBAT,50
PLA,60
PBS,55
PCL,60
PHB,180
PC,150
PPO,220
PBTP,70
PSF,190
PES,230
PEI,217
PAI,300
PSU,190
PPS,285
PPSU,220
PVDF,150
FEP,260
ETFE,150
ECTFE,155
PVF,150
PFA,305
MFA,200
GaAs,1230
SiC,900
Al2O3,1800
