Material,Value
PMMA,105
PS,100
PVC,87
PE,80
PP,130
PET,75
PTFE,327
PA6,50
PA66,50
PSU,185
PES,225
PC,150
PBAT,5
PVA,60
PI,260
PBT,30
PPO,215
POM,165
PHA,55
PLA,60
PCL,60
PMMA,105
PS,100
PVC,87
PE,80
PP,130
PET,75
PTFE,327
PA6,50
PA66,50
PSU,185
PES,225
PC,150
PBAT,5
PVA,60
PI,260
PBT,30
PPO,215
POM,165
PHA,55
PLA,60
PCL,60
GaAs,1230
PEEK,343
SiC,900
Al2O3,1800
PMMA,105
PS,100
PVC,87
PE,80
PP,130
PET,75
PTFE,327
PA6,50
PA66,50
PSU,185
PES,225
PC,150
PBAT,5
PVA,60
PI,260
PBT,30
PPO,215
POM,165
PHA,55
PLA,60
PCL,60
GaAs,1230
PEEK,343
SiC,900
Al2O3,1800
