Material,Value
PS,100
PMMA,105
PVC,87
PTFE,127
PET,75
PP,160
PA,60
PE,50
PC,150
PEEK,343
PVA,85
PBAT,55
PLA,60
PBS,45
PHB,180
PCL,60
PVDF,150
PAN,100
PSF,190
PES,225
PI,260
PAI,288
PPO,220
PSU,187
PPSU,220
PEI,217
FEP,80
ETFE,150
ECTFE,155
PFA,305
PVF,150
PTFCE,125
PVDC,105
EVA,40
EVOH,175
TPU,90
TPE,120
TPO,100
TPV,110
TPU,90
TPEE,120
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPU,90
TPEE,120
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPU,90
TPEE,120
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPU,90
TPEE,120
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPU,90
TPEE,120
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPU,90
TPEE,120
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPU,90
TPEE,120
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPU,90
TPEE,120
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPU,90
TPEE,120
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPU,90
TPEE,120
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPU,90
TPEE,120
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPU,90
TPEE,120
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPU,90
TPEE,120
TPC,100
TPI,275
TPA,60
PS,100
PMMA,105
PVC,87
PTFE,127
PET,75
PP,160
PA,60
PE,50
PC,150
PEEK,343
PVA,85
PBAT,55
PLA,60
PBS,45
PHB,180
PCL,60
PVDF,150
PAN,100
PSF,190
PES,225
PI,260
PAI,288
PPO,220
PSU,187
PPSU,220
PEI,217
FEP,80
ETFE,150
ECTFE,155
PFA,305
PVF,150
PTFCE,125
PVDC,105
EVA,40
EVOH,175
TPU,90
TPE,120
TPO,100
TPV,110
TPEE,120
TPC,100
TPI,275
TPA,60
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPEE,120
TPC,100
TPI,275
TPA,60
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPEE,120
TPC,100
TPI,275
TPA,60
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPEE,120
TPC,100
TPI,275
TPA,60
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPEE,120
TPC,100
TPI,275
TPA,60
TPC,100
TPI,275
TPA,60
TPU,90
TPE,120
TPO,100
TPV,110
TPEE,120
TPC,100
TPI,275
TPA,60
