Material,Value
PMMA,105
PS,100
PVC,87
PE,85
PTFE,327
PET,76
PEEK,334
PA66,50
PAN,100
PC,150
PVA,85
PLA,60
PU,55
PTFE,327
PVDF,150
PTFE,327
PS,100
PEI,217
POM,175
PBT,55
PPS,90
PA11,45
PA12,60
PES,180
PEKK,340
PMMA,105
PTFE,327
PVB,50
PTFE,327
PSU,187
PTFE,327
PTFE,327
PAI,300
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PTFE,327
PMMA,105
PS,100
PVC,87
PE,85
PTFE,327
PET,76
PEEK,334
PA66,50
PAN,100
PC,150
PVA,85
PLA,60
PU,55
PVDF,150
PEI,217
POM,175
PBT,55
PPS,90
PA11,45
PA12,60
PES,180
PEKK,340
PVB,50
PSU,187
PAI,300
GaAs,1230
PMMA,105
PS,100
PVC,87
PE,85
PTFE,327
PET,76
PEEK,334
PA66,50
PAN,100
PC,150
PVA,85
PLA,60
PU,55
PVDF,150
PEI,217
POM,175
PBT,55
PPS,90
PA11,45
PA12,60
PES,180
PEKK,340
PVB,50
PSU,187
PAI,300
GaAs,1230
PTFE,327
